Title,Profile,Date,Rating,ProductSize,Verified_Purchase,Review
Edge wrap seems more of a gimick than a useful feature,carrie karchin,"December 9, 2021",3.0,Style: Motorola EdgeColor: Solar Black,Verified Purchase,"I bought this moto edge to replace my moto x4.  The curved screen seemed more of a gimick than a useful product.  When you put on  a cell phone  cover of most any type, the edge features are covered and become useless. Only a few covers allow the edge functions to work . But I didn't have those types so I can't say for well they  allow edge functions to work.  Reading text that curves around the side is not useful, especially with a case even if you turn off the edge function.  The Edge does provide a large screen with the same useful area as slighly larger phones because there are not  corner rims. The finger print sensor works great.  I don't like the swipe options to go to previous screen. I would prefer a home button similar to older moto phones than swiping up to reach home.  At $399 this phone is a good value, especially if you like the edge functions.  I am just not happy with it compared to my other moto phones"
No good,Ashley,"December 6, 2021",1.0,Style: RAZR 5GColor: Liquid Mercury,Verified Purchase,No good
Nice but edges are sometimes a problem,Rosalind,"December 4, 2021",4.0,Style: Motorola EdgeColor: Solar Black,Verified Purchase,"I like the phone, but the rounded side edges can be a problem sometimes. Sometimes it's hard to read stuff that's right on the edge of the screen, and it's very hard to find a case that will protect it without disabling the touch screen properties at the edges."
I still haven't gotten the correct case,Amazon Customer,"December 4, 2021",4.0,Style: Motorola EdgeColor: Solar Black,Verified Purchase,Am still having a little challenge.. can't find the right fit case for this phone.. the one am using.don't have a entrance for the head phone..Am going to make a decision on it.. read the text.. THE CASE DON'T HAVE THE ACCESS FOR THE HEAD PHONE..
Fantastic...Thing...,Worldreviewed,"December 2, 2021",5.0,,,"All, I had purchased this phone form T-Mobile as an upgrade and here is my unbiased review. For clarification purposes, I do understand its limitations and how it fares against other Android power devices, foldable or not and equally against the IOS, since I am also using and have been using Iphones for years. The reason why I am giving it 5 * is mostly because of the overall attempt of a company, no matter the name, to go out and do something different, in a word of almost ""all phone looking identical"". There were times in not so distant past when companies actually were taking risks and create unique memorable devices. Now, everyone is following everyone else, focusing on how not to fail, rather than how to differentiate from the crowds. I will address all the negative and positive reviews and provide feedback hoping some big shot Motorola/Lenovo executive is listening.First, I purchased this phone due a strong emotional connection I have always had with Motorola as a brand; regardless who owns the brand now and where the company comes from, let's face it, we are communicating today the way we do, because of companies like Motorola. It's important that Motorola as a name continues to thrive. I have never owned the original Razr, but I had purchased the original form my brother at his 18th birthday anniversary. At that time I was using a SonyEricsson T68i ( whoever remembers that) and I was coming from a Motorola V70 ( for the younger readers, that was the most beautiful phone I have ever seen).Price:There is no way that this phone is worth the initial $1,300, nor the heavily discounted $800 price. Not by today's standard, nor by any standard, regardless its uniqueness, emotional connection or any other criteria. $600 is the right price and anything below that is a bargain. You will need to consider its form factor and basically the lack of competition. Don't tell me it's ""crap"". How much crap we all have purchased and paid the extra $$$ just because it allowed us to identify with some elite crowds. So, once again, $600 is super fair.Functionality:I just love the form factor. Besides that, it has anything and everything a modern phone can and should do for $600. What it also does that nothing else does it, or does it better is the looks. It's just beautiful!!! I won't go into other details, since everything is just subjective. Sure, you'll read "" it has only one speaker, camera is not the best, can't open with one hand"". All valid points, but it also, by no means, sucks at any of that. Speaker is loud enough, you don't need two speakers. Camera is great, sure not Iphone quality. I can open it with one hand, sure, it could have been easier. Once again, you will have to look at where the market stands, to understand how advanced actually this phone is.Here are some opportunities for improvement ( not that any of these are a deal breaker, but there's room for improvement without much effort, in my opinion).Weight: it's heavy, very heavy. I know everyone is after the ""premium feel"" but there were times when you could create the premium with ""good ol' plastic"" or fancier called ""Reinforced Polymer"". I , for one, don't care if my phone is made of metal, glass and what not. The purpose of a device you have on you every day is to make your life easier. Make the next generation out of plastic, if you can shave 50-100 grams. at almost 200 grams, it's heavy and it doesn't have to be that way to be beautiful and functional. As a plus, I guarantee you, the next two concerns will be eliminated.Signal Reception: I am sure we have read some reviews about not so stelar wifi/network reception and sadly, it's true. It's not terrible, but it isn't among the best either. I bet if the phone was more made of plastic, reception would have been a lot better.Vibration Motor: this is really bugging me. I remember the old time motorola pagers vibrating your pants and scaring me every time I got a notification. I am sure this is a combination between the choice of vibrator motor ( which is mostly a cheap, tiny one) and ....the inability to transmit the vibration through the massive 200 grams of metal and glass. There is reason why smart watches are plastic made in the back: vibration can be felt, signal can get through). The vibration motor is terrible and this is the only negative thing I have to say about the phone. I can live with it, but it's somehow unacceptable. I miss every call if I keep the phone on vibrating only.Processing power: It's fine for all the tasks. Sure is. Also, sure, it gets hot with extended use, but bearable. Playing games, intensive games like Call Of Duty is a no go. Phone gets hot to the point of becoming unusable. I don't care for that, as I do not play games too much, but this is also an Android problem so not this phone flaw. Applications, in general, don't run that smooth on Android as they do on IOS. Sure thing, if you have never actually used an Iphone before, you will disagree with me, but that's besides the point I am trying to make.Overall Build Quality: It's great, but did I mention how heavy it is? All the glass around, it's an accident waiting to happen. No wonder I see many people out there with a cracked display. I went ahead and got a case and, the best of all, purchased Accident Protection from Motorola directly. Sure, I could have gotten one from someone else, probably for less, but then again, I want Motorola to thrive and did my part sustaining a brand I grew up with and I believe it. It's all emotional but so it is the very same reason why if  you remember the original Razr, you should go right ahead and buy this thing. Until next time, I got to flip, speaking of which, like to other!"
Great phone at a reduced price.,Jacob Flores,"December 1, 2021",5.0,Style: Motorola EdgeColor: Solar Black,Verified Purchase,I like this phone so much I had to buy another one because I broke the screen on the first one and it would cost more than half the price to repair so I figured I'd just buy a new one and I cut it at a cheaper price... I really love it the screen works really good and it holds up to one terabyte of space I like that
Expensive parts then iphone. Is not worthy money,Amazon Customer,"November 27, 2021",3.0,,,Not enough good money worthy. Parts very expensive and rare. Lcd and glass touch screen $199  Amazon. Think twice B4 buy. Not good protection.
Don't buy,pdz183,"November 27, 2021",1.0,Style: Motorola EdgeColor: Solar Black,Verified Purchase,This is the worst phone I've ever owned. Not even a week having it. The edge sensitivity is terrible trying to type or scroll the palm of my hand is near the edge so I can't do anything unless you lay the phone down and use 1 finger. I will be asking for a full refund.
"An old favorite, now better than ever",David Wells,"November 24, 2021",5.0,Style: RAZR 5GColor: Liquid Mercury,Verified Purchase,"I've only had this phone for a day, and I love it already.  I had some trepidation about switching from iOS to Android, but it's been really easy.  I did have to download all my apps from Google's Play Store, but my contacts and music transferred over easily.  My case is probably easier as I tended to use Outlook for emails, calendar, contacts etc, so I lost nothing once I downloaded it to this phone.Pro's:- Folding smart-phone fits in my jeans pocket!  I was really getting tired of how huge the new phones are.  Maybe some people want to watch movies or play games on their cell phone, but not me!- Super-slick design (Apple has nothing on Moto here)- Every app I used on iPhone is available, and quickly loaded onto my new Android phone.- Front screen is highly functional - I've already learned to do many thing without opening the flip.- Main screen is beautiful.  I hope it remains so!- I always loved my old RAZR, and this is definitely triggering some nostalgic memories.- Dual SIM & globally unlocked means when I move to Italy next month this same phone will serve both my US and Italian numbers simultaneously.- Not sold in Italy apparently, so my Italian friends are gonna be jealous!Con's:- Switching OS's is a bit of a nuisance.  Truth is, if Apple offered a folding iPhone I probably would've bought that.  BUT they don't, so hello Moto!- No wireless charging.  I guess Motorola will fix this eventually.- USB-C connector means all my old charging/syncing cords are useless.  Oh well, cables are cheap so it's worth it."
Carness,Moussa Mehdi,"November 22, 2021",5.0,Style: Motorola EdgeColor: Solar Black,Verified Purchase,"The best ever. , right place right time"
Just what I was looking for.,Mark C. James,"November 22, 2021",5.0,Style: Motorola EdgeColor: Solar Black,Verified Purchase,"I went to Spectrum when a salesperson called my and informed me that they used the Verizon back-bone. I was on a Sprint back-bone for so long. Just started my job, so I bought the cheapest phone they had. An LG-LK31. After about a year, that phone was S O  S L O W! So I upgraded. It was between the Samsung S21 and this. This phone was 1/2 the price and is fast. Very happy with it so far."
nice phone,Omar rivas,"November 21, 2021",5.0,Style: Motorola EdgeColor: Solar Black,Verified Purchase,screen might be too sensitive sometimes
Don’t spend money on it.,Md Tanvir Ahmed,"November 20, 2021",2.0,Style: Motorola EdgeColor: Solar Black,Verified Purchase,You’ll find lots of better phones for this price. Returned it.
Just what I wanted and expected.,Stephen Vincent,"November 20, 2021",5.0,Style: RAZR 5GColor: Polished Graphite,Verified Purchase,External display is very sensitive to vibration or movement and will display time for a few seconds. Haven't figured a way too lower this or turn it off.
Nice and awesome.,Cam,"November 19, 2021",5.0,Style: Motorola EdgeColor: Solar Black,Verified Purchase,"This Moto Edge is totally nice and awes. ""buy it"" You will be happy. The UI is awesome. Mine was updated to Android 11 during normal mot updates. Happy with my new phone."
Expensive at half the price.,Eric Foss,"November 19, 2021",1.0,Style: Motorola EdgeColor: Solar Black,Verified Purchase,"This phone has become a pain in the ---. If you look at it wrong it starts up, if anything touches the screen anywhere it starts. Most annoying is it won't connect to any of my desktop computers so I have to take the SD card out to copy music or other data to it. The side screen feature gets in the way far too easily as well. Looks nice but is a pain."
Happy meal toy,ray seaman,"November 10, 2021",1.0,Style: Motorola EdgeColor: Solar Black,Verified Purchase,I don't understand how they can charge money for this the Bluetooth randomly disconnects sometimes in the middle of something I'm listening/watching and the customer service Is basically non existent. You may as well give it away in a happy meal
