Title,Profile,Date,Rating,ProductSize,Verified_Purchase,Review
None,TT,"December 9, 2021",5.0,Color: Phantom BlackSize: 128GBStyle: S21 Ultra,Verified Purchase,"Great phone! good battery life, exellent camera quality."
Still learning,Frank B. Felty,"December 7, 2021",5.0,Color: Phantom BlackSize: 128GBStyle: S21 Ultra,Verified Purchase,"It's really too early to send this survey out as I'm still learning many things about the phone, but can't answer about things here that I haven't worked with as of yet. But right now on what I worked with it's awesome."
Camera quality is perfection!,Naomi,"December 7, 2021",5.0,Color: Phantom BlackSize: 128GBStyle: S21 Ultra,Verified Purchase,Had this phone for months now and and my husband also bought one off here and we haven't had any issues. Works great! And is legit! Bought this for the camera and it doesn't disappoint
Come on its the ultra,J-FIZZLE,"December 5, 2021",5.0,Color: Phantom BlackSize: 128GBStyle: S21 Ultra,Verified Purchase,"I mean what do you expect except what you buy it for, mine works great and I almost never put it down bc I'm a freaking insomniac but also it's nice bc the file system that allows you to put an external USB storage on it and you can watch bootleg movies through it or just use its file system similar to how a computer works samsung in general is more for the computer user rather than just overall user friendly if you want a phone to call use tic tok snapchat and take photos, get an iPhone. But if you want a phone that can do all that and be fully customizable, have a compatible storage format to be used with windows, and have a reliable bigger battery, bigger camera sensors and just in general better instruments at hand go for samsung"
I recommend getting an apple phone,Kimberly Harrell,"December 5, 2021",1.0,,,"If you value talking to people and being able to hear them without a constant echo, I would recommend going with an Apple phone. Absolutely horrendous especially with how much these phones cost. Do not purchase, it's complete junk!"
S21 ultra,nadiya,"December 5, 2021",4.0,Color: Phantom BlackSize: 128GBStyle: S21 Ultra,Verified Purchase,Battery drain so fast.
Poor data reception,Sergei N.,"December 4, 2021",4.0,Color: Phantom BlackSize: 128GBStyle: S21 Ultra,Verified Purchase,"I've bought it in hope that it will have better reception than my 7 yo Note 4, and in order to get a working version of Android. My, was I wrong! As Verizon techy explained, s21 needs about 3 times stronger signal than Note 4. The progress getting stranger every day. I ordered today a signal booster, lets see what happens.Overall, its a pretty toy with Android 12 (will last for a while)."
Awesome phone!,stephen raccio,"December 4, 2021",5.0,Color: Phantom BlackSize: 128GBStyle: S21 Ultra,Verified Purchase,"I was originally going to order this phone from Samsung but had to wait 3 weeks for it to ship! Amazon had the phone delivered to my house in 2 days! Thank you Amazon! The phone has an incredible display, is lightning fast with a great fingerprint reader for all my banking and investment apps. I love the phone!"
Worst Samsung phone ever,Amazon Customer,"December 4, 2021",2.0,Color: Phantom BlackSize: 128GBStyle: S21 Ultra,Verified Purchase,"This is the worst Samsung phone ever and that includes the note that exploded in people's pockets. My friend has the A32 and his phone out performs mine on every level. The battery on this phone doesn't even last a full day. There is no SD card slot. There is a hole in the middle of the screen. When setting up for the first time there are sections that say optional but are required to set it up. My suggestion is if you are going to buy a Samsung phone then upgrade and get the A32. After this piece of crap, i won't be buying another Samsung product. Who ever designed this paper weight was either drunk, high on drugs, or disgruntled and on their way out."
No estaba sellado,Jhoan Seo,"December 3, 2021",3.0,Color: Phantom BlackSize: 128GBStyle: S21 Ultra,Verified Purchase,"El producto se supone que era nuevo pero no vino sellado, lastimosamente me lo trajeron a otro país y no puedo regresarlo"
"Received FAULTY product, purchase from store.",Dk.oso,"December 2, 2021",1.0,Color: Phantom BlackSize: 128GBStyle: S21 Ultra,Verified Purchase,"I ordered this phone on holiday season, end up receiving faulty product. Don't purchase from amazon, better visit local store."
Is it worth $1200?? No. Needs more storage,Levi Tafari,"December 1, 2021",5.0,Color: Phantom BlackSize: 128GBStyle: S21 Ultra,Verified Purchase,I love the phone. I am already out of room though and all I have is videos and pics of my son. You can not add any external storage so all you get is what you get. I got the ultra and still ran out of room within 4 months.
It's omplete,Amazon Customer,"December 1, 2021",2.0,Color: Phantom BlackSize: 128GBStyle: S21 Ultra,Verified Purchase,For the cost of the product it should have come with a charger and a sim card spent the whole day finding these items. omplete
Awesome large tablet,Cynthia Yeager,"December 1, 2021",5.0,Color: Phantom BlackSize: 128GBStyle: S21 Ultra,Verified Purchase,Large screen and very easy to use. Similar to my Galaxy phone.
