Title,Profile,Date,Rating,ProductSize,Verified_Purchase,Review
Would return if I could,Jason Isbell,"December 7, 2021",1.0,Color: Phantom VioletSize: 128GBStyle: S21,Verified Purchase,"Constant problems.  Sim card not recognized, touch screen problems, wifi connection issues.  Samsung customer service is garbage."
No charging block,Dave A.,"November 12, 2021",Top,Color: Phantom VioletSize: 128GBStyle: S21,Verified Purchase,"C'mon Samsung. A high priced phone, and you cheap-out on a simple charging block? This phone is just a slight improvement from its predecessor, but still a decent phone if you're looking for a replacement. This phone ONLY comes with a USB-C to USB-C cable (for wired data transfers and charging), but who has a USB-C charging block handy (at this point in time anyway)? I could almost understand a USB-C to USB-A, since most everything available for charging is USB-A, meaning you can't use your previous phone's charger, unless it too was a USB-C, so you'll need to order up some USB-C to USB-A, for home, vehicles, etc.Overall, the phone itself has not had any negative issues, and swapping over the SIM card was an easy transfer of the cell service. The wireless data transfer was also pretty good, but it didn't get everything, so carefully check to make sure everything works before discarding your old phone. You'll have to download some APPs again, but contacts and photos moved over very well. I think these phones are way over-priced when they're obsolete after just a few months."
Camera stopped working after 5 months,Fernando @ Happy Code Club,"November 5, 2021",2.0,Color: Phantom VioletSize: 128GBStyle: S21,Verified Purchase,The camera stopped working after a few months of use. It became blurry and fuzzy and useless
I just got it set  up yesterday but so far I am very happy with this phone.,Amazon Customer,"October 24, 2021",5.0,Color: Phantom VioletSize: 128GBStyle: S21,Verified Purchase,Very nice phone
Camera is about the only good feature,Christian Hess,"October 15, 2021",3.0,Color: Phantom VioletSize: 128GBStyle: S21,Verified Purchase,Battery life is 1 day changed to no port for headphones so now an adapter must be bought to plug into charging port for music listening or be forced to buy uncomfortable internal ear buds Had an S10 before this one it’s better save your money
Waste of time,Bear Left,"October 13, 2021",1.0,,,"Worst phone I've ever had, including my old flip-phones.  I can't turn off all the iPhone-emulating ""Bixby"" crap and can't use Skype reliably.  If you want a phone that emulates an iPhone, get an iPhone.  That is what I am about to do, after dropping $900 on this POS just two months ago."
Great phone.,Border Traveller,"October 12, 2021",5.0,Color: Phantom VioletSize: 128GBStyle: S21,Verified Purchase,Love this phone. We do not use the face recognition or the fingerprint reader. Waste of time but this is an excellent phone has great features. Battery and camera are great.
Tis product is sub-par,NYC Girl,"October 12, 2021",2.0,Color: Phantom VioletSize: 128GBStyle: S21,Verified Purchase,The headphone/ear bus plug connection failed after 2 weeks - so no ear bud use. The operating system doesn't support visual voice mail. The system hiccups. Total disappointment. Buy an I phone instead.
Bixby is listening,SMBmadison,"October 8, 2021",3.0,,,"This phone randomly started listening to me and I couldn't figure out why. I had already gone through the 12 step program to disable ""hey google"" from both normal use modes and google maps, and it randomly started listening to me again a few weeks later. Apparently it was Bixby this time, and no, I was not using the word ""Bixby"" ever, nor had I gone in to enable it. It was just conveniently mishearing something else as ""bixby"" and started listening. So yeah, creepy, stop making phones listen to people without their consent, it should be opt-in only.Samsung won't let me leave a review on their website but had to put it out there somewhere."
Phone has many glitches and Amazon refuses to replace!!,Annette White,"October 3, 2021",3.0,Color: Phantom VioletSize: 128GBStyle: S21,Verified Purchase,Doesn't find sim card all the time. Phone is hot to touch. While texting it flickers and jumps off screen.  I really wanted to love this phone but it has so many issues I may return...battery drains very fast too....took to samsung technician and phone deemed unfixable! I don't want refund I want replacement!!! I can't send back this phone until I have new phone to transfer data!!!! Amazon refuses to replace!!! Don't believe what they say!! Do not buy their phones. Very bad business!
Samsung S21 5G,Cheyenne,"September 20, 2021",5.0,,,"Purchase this phone to a different site but I have the same exact phone and I used straight talk. To those people saying it isn't dual sim, IT IS DUAL SIM. The tray has space for one nano SIM card on the top, and another on the underside. Go check it out! 😉"
